가로등번호,위도,경도
6212021,35.875861,128.6546745
6212020,35.87597951,128.6544415
6212019,35.87612398,128.6541547
6212018,35.87628432,128.6539647
6212016,35.87645578,128.653728
6212015,35.87661107,128.6535128
6212014,35.87676292,128.6533026
6212013,35.87690978,128.6530994
6212012,35.87706928,128.6528735
6212008,35.87768602,128.6519763
6212006,35.87785099,128.6518504
6212007,35.87770476,128.6521112
8153031,35.85835829,128.4659834
8149003,35.85779895,128.4664175
8149002,35.85767532,128.4662691
8149033,35.85779799,128.466048
8149034,35.85766119,128.465884
8149001,35.85750824,128.4660683
8153029,35.85817675,128.4657549
8153027,35.85840732,128.4653729
8153028,35.85827494,128.4655241
8153030,35.85825898,128.4658543
8153026,35.85854048,128.4652221
8153016,35.85985552,128.4638634
8153017,35.85973525,128.463865
8153018,35.85960275,128.4640151
8150016,35.85834018,128.4664275
8151027,35.86258075,128.4696108
8151026,35.86243167,128.469716
8151024,35.86212306,128.4699048
8151022,35.86180263,128.4700582
8151023,35.86196421,128.4699855
8151025,35.86227938,128.4698141
8151028,35.86266227,128.4693242
8151029,35.86262962,128.4691173
8151030,35.86259565,128.4689095
8151031,35.86256309,128.4687025
8151032,35.86252967,128.4684955
8151033,35.86249601,128.4682884
8151034,35.86246343,128.4680821
8148025,35.86334847,128.4672804
8148009,35.86342479,128.4669267
8148026,35.86354144,128.4670462
8148027,35.86366764,128.4667521
8148008,35.86352729,128.4666807
8148010,35.86326697,128.4671219
8148023,35.86284221,128.4675068
8148011,35.86306825,128.4672513
8148013,35.86257355,128.4673848
8148024,35.86310672,128.4674317
8148020,35.86203139,128.467681
8148021,35.86226453,128.4676451
8148014,35.86224049,128.4674611
8148016,35.86175502,128.4675215
8148015,35.86201631,128.4674953
8148019,35.86176054,128.4677079
8151019,35.86128646,128.4702294
8151018,35.86110563,128.4702694
8151017,35.8609268,128.4703017
8151015,35.8605676,128.4703503
8151016,35.86074831,128.4703281
8151014,35.86038699,128.4703603
8151020,35.86146217,128.4701814
8149021,35.86045292,128.4674489
8149020,35.86071398,128.467483
8148018,35.86149837,128.4677209
8149017,35.86123576,128.4677187
8151021,35.8616384,128.4701229
8146010,35.86634103,128.464951
8146009,35.86610788,128.4648082
8146014,35.86594027,128.4644292
8147002,35.86560446,128.4646386
8147003,35.86567848,128.4642841
8146008,35.86585845,128.4646889
8146013,35.8662068,128.4645551
8146007,35.86555128,128.4645686
8146015,35.86559962,128.4643093
8146006,35.86526073,128.4644811
8147001,35.86537363,128.4645559
8146016,35.8653273,128.4642271
8146017,35.86499724,128.4641273
6248010,35.83348526,128.6787802
6248010,35.8334796,128.6788446
6248010,35.83347529,128.6789165
6248010,35.83348084,128.6792441
6248010,35.83348522,128.6791794
6248010,35.83348956,128.6791114
6248010,35.83349218,128.6790431
6248010,35.8334964,128.6789826
6248010,35.83347044,128.6789827
6248010,35.83346621,128.6790432
6248010,35.83346359,128.6791115
6248010,35.83345925,128.6791795
6248010,35.83345487,128.6792442
6248010,35.83332331,128.6792234
6248010,35.83332769,128.6791587
6248010,35.83333203,128.6790907
6248010,35.83333465,128.6790224
6248010,35.83333887,128.6789619
6248010,35.83334373,128.6788957
6248010,35.83334804,128.6788238
6248010,35.8333537,128.6787595
6248010,35.83335809,128.6786948
6248010,35.83336242,128.6786268
6248010,35.83336374,128.678562
6248010,35.83336796,128.6785016
6248010,35.83337282,128.6784353
6248010,35.83337713,128.6783634
6248010,35.8333841,128.6783
6248010,35.83338811,128.6782271
6248010,35.83339282,128.6781673
6248010,35.83339556,128.6780955
6248010,35.83339978,128.678035
6248010,35.83340464,128.6779688
6248010,35.83340895,128.6778969
6248010,35.83341161,128.6778352
6248010,35.833416,128.6777706
6248010,35.83342033,128.6777025
6248010,35.83342452,128.677636
6017013,35.86346503,128.63546
6017012,35.86382975,128.6353608
6004003,35.87180739,128.6349762
6005021,35.87107296,128.6338269
6005020,35.87078518,128.6335679
6004002,35.87169913,128.634634
6004001,35.87147806,128.6342447
6005017,35.8702533,128.6330847
6005016,35.87006444,128.6329123
6026016,35.86731057,128.6330217
6026014,35.8673962,128.6336147
6026015,35.86734888,128.6332775
6017001,35.86700935,128.633554
6017002,35.86666473,128.6337536
6026013,35.86746518,128.6340484
6026012,35.86752294,128.6344351
6026011,35.86756807,128.6348051
6026010,35.86756096,128.6351517
6017003,35.86637585,128.6339289
6017004,35.86612218,128.6340791
6017005,35.86583214,128.6342557
6017006,35.86554546,128.634426
6017007,35.86528278,128.6345833
6017008,35.86502948,128.6347401
6017009,35.86473403,128.6349149
6005014,35.8695095,128.6324094
6005013,35.86929449,128.6322146
6005011,35.86887702,128.6318664
6005010,35.86864568,128.6316563
6005009,35.86842089,128.6314201
6005008,35.86824892,128.6312706
6005007,35.86802239,128.631071
6005006,35.86773812,128.6308147
6005005,35.86749797,128.6306092
6005004,35.86726952,128.6303942
6026017,35.86725014,128.63265
6026018,35.86719213,128.6322738
6026019,35.86713965,128.6319232
6203006,35.86690065,128.6316937
6203005,35.86683448,128.6312657
6203004,35.86678357,128.6309338
6203003,35.86672834,128.6305699
6005003,35.86702568,128.6302136
6203002,35.86665478,128.6302193
6203001,35.86655944,128.6298826
6125002,35.86670566,128.6265988
6125001,35.86686948,128.6264841
6006006,35.86688856,128.6261383
6006004,35.86696133,128.625363
6013010,35.86569617,128.6268776
6015017,35.86565038,128.6271979
6013012,35.8663063,128.6268608
6006008,35.86645787,128.6265341
6012001,35.86607851,128.6265145
6012002,35.86583969,128.6265611
6012003,35.86551554,128.6265609
6013009,35.86538516,128.6268743
6013008,35.86503651,128.6268792
6013007,35.86474509,128.6268743
6013006,35.8643582,128.6268787
6013005,35.86403421,128.6268836
6015016,35.86534149,128.6271984
6015015,35.86500219,128.6272013
6015014,35.86463226,128.6271956
6015013,35.86433873,128.6271985
6015012,35.86409972,128.6272
6012004,35.86520028,128.6265635
6012005,35.86489858,128.6265599
6012008,35.86398737,128.6265707
6012007,35.8642954,128.6265666
6012006,35.86462813,128.6265616
6013004,35.86364561,128.6268901
6015010,35.86335728,128.6272302
6015011,35.86367318,128.6272065
6012009,35.86363642,128.6265708
6012010,35.86325381,128.6265622
6011022,35.86677391,128.6240489
6007016,35.86712172,128.6238108
8144006,35.73788727,128.6595083
8144005,35.73809739,128.6592963
8144004,35.73831259,128.6590785
8144003,35.73852427,128.6588654
8144002,35.73873707,128.6586517
8144001,35.738944,128.6584413
8143032,35.73915459,128.6582289
8143012,35.74334531,128.6540556
8143011,35.7435405,128.6538743
8143010,35.74375862,128.6536871
8143009,35.74398375,128.6535187
8143031,35.73937079,128.6580116
8143030,35.73957301,128.6577892
8143029,35.7397696,128.6575668
8143027,35.74017269,128.6571498
8143028,35.73997929,128.6573532
8143026,35.74034714,128.6569651
8143025,35.74047121,128.6567639
8143024,35.74073931,128.6565675
8143020,35.74167355,128.6556801
8143018,35.74210411,128.6552439
8143019,35.74186982,128.6554816
8143023,35.74096371,128.656296
8143008,35.74421246,128.6533515
8143007,35.74444331,128.6531797
8143005,35.74504339,128.6528598
8143006,35.74466016,128.6530405
8143004,35.7452864,128.6527272
8143002,35.74578665,128.6524891
8143017,35.74233246,128.6550145
8143003,35.74553626,128.6526082
1091006,35.86475648,128.5867242
1091005,35.86446354,128.5867624
1091011,35.86467207,128.5852675
1091010,35.86468018,128.585586
1091009,35.8646939,128.5858878
1091008,35.864698,128.5862912
1091007,35.86480508,128.586654
1007002,35.87788519,128.5807217
1007003,35.87795462,128.580372
1048022,35.87602413,128.5822147
1009024,35.87743429,128.5819264
1006008,35.87752788,128.5827329
1048020,35.8755172,128.5822335
1006011,35.8776937,128.5818555
1006010,35.87762524,128.5822134
1006009,35.87757266,128.5824917
1048018,35.87502811,128.5822506
1048019,35.87536131,128.5822401
1048011,35.87338123,128.5823295
1048009,35.87318478,128.5823086
1114001,35.87318434,128.5820471
1048013,35.87410346,128.582276
1048012,35.87368339,128.5822899
1031001,35.87369652,128.5820241
1031002,35.87350807,128.5819944
1048014,35.87434384,128.5822674
1048017,35.87480201,128.5822591
1048016,35.87455566,128.5822619
1035012,35.87067167,128.5824417
1034003,35.87057647,128.5807599
1048008,35.87276948,128.5823239
1048006,35.87218279,128.5823387
1048005,35.87187339,128.5823491
1048002,35.8712998,128.5823653
1114005,35.87208274,128.5820801
1114004,35.87227849,128.5820786
1114002,35.8729376,128.582053
1114003,35.87256781,128.5820662
1114006,35.8718037,128.5820878
1114007,35.87144929,128.5820991
1114008,35.87119398,128.5821083
1114009,35.87097481,128.5821149
1114010,35.87069317,128.5820705
1034001,35.87062758,128.5816121
1034002,35.87060029,128.5811848
1034004,35.8705547,128.5803858
1035011,35.8706906,128.5826802
1048001,35.87101182,128.5823741
1048003,35.87160684,128.5823607
1048007,35.8724446,128.5823329
1049009,35.86803131,128.5821482
1046001,35.87042438,128.582384
1047006,35.87043572,128.5817733
1047004,35.87039046,128.5810389
1046002,35.87049047,128.5826503
1049007,35.8688352,128.5821384
1112015,35.86966824,128.5823784
1112014,35.869512,128.582381
1112013,35.8692289,128.5823978
1112012,35.86881447,128.5824063
1047003,35.87037277,128.5807293
1047002,35.87035387,128.5804505
1047005,35.87041051,128.5813619
1047007,35.87041191,128.5820349
1049001,35.8701466,128.5821148
1049002,35.86996893,128.5821206
1049003,35.86962631,128.5821242
1049005,35.86930701,128.5821306
1049006,35.86912922,128.5821358
1049008,35.86849849,128.5821434
1112011,35.86848586,128.5824161
1112016,35.87016701,128.5823631
1049016,35.86589086,128.5822084
1049017,35.86560632,128.582213
1112003,35.86601466,128.5824687
1112009,35.86762104,128.5824306
1112010,35.86795185,128.5824243
1049010,35.86777281,128.5821557
1049011,35.86743701,128.5821668
1049012,35.86715951,128.5821734
1049013,35.86683519,128.5821835
1049014,35.86654257,128.5821915
1112008,35.86729023,128.5824404
1112007,35.8670159,128.5824472
1112005,35.86667262,128.5824545
1112004,35.86636161,128.5824606
1112002,35.8657308,128.5824783
1049015,35.86621039,128.5821991
1049018,35.86531225,128.582219
1111017,35.86126027,128.5826639
1091012,35.86459409,128.5850096
1112001,35.86538973,128.5824882
1111022,35.8633754,128.5825388
1094005,35.86315135,128.5822954
7367003,35.82264769,128.5278375
7367004,35.82272796,128.5280673
7367005,35.82283021,128.528289
7367006,35.82295331,128.5285019
7368001,35.82312929,128.5287354
7368002,35.82326012,128.5289409
7368003,35.82338923,128.5291467
7368004,35.82344864,128.529344
7368005,35.82329521,128.5294885
7368006,35.82311716,128.5296553
7368007,35.8229473,128.5298111
